,size,name,format,region,tile_dim
0,4150,results/test_1_end_32.BMP,BMP,end,32
1,1891,results/test_1_end_32.GIF,GIF,end,32
2,873,results/test_1_end_32.JPEG,JPEG,end,32
3,2577,results/test_1_end_32.PNG,PNG,end,32
4,4250,results/test_1_end_32.TIFF,TIFF,end,32
5,4150,results/test_1_mid_32.BMP,BMP,mid,32
6,1903,results/test_1_mid_32.GIF,GIF,mid,32
7,893,results/test_1_mid_32.JPEG,JPEG,mid,32
8,2608,results/test_1_mid_32.PNG,PNG,mid,32
9,4250,results/test_1_mid_32.TIFF,TIFF,mid,32
10,4150,results/test_1_start_32.BMP,BMP,start,32
11,848,results/test_1_start_32.GIF,GIF,start,32
12,643,results/test_1_start_32.JPEG,JPEG,start,32
13,106,results/test_1_start_32.PNG,PNG,start,32
14,4250,results/test_1_start_32.TIFF,TIFF,start,32
15,16438,results/test_2_end_64.BMP,BMP,end,64
16,5210,results/test_2_end_64.GIF,GIF,end,64
17,1635,results/test_2_end_64.JPEG,JPEG,end,64
18,9942,results/test_2_end_64.PNG,PNG,end,64
19,16538,results/test_2_end_64.TIFF,TIFF,end,64
20,16438,results/test_2_mid_64.BMP,BMP,mid,64
21,5171,results/test_2_mid_64.GIF,GIF,mid,64
22,1689,results/test_2_mid_64.JPEG,JPEG,mid,64
23,9965,results/test_2_mid_64.PNG,PNG,mid,64
24,16538,results/test_2_mid_64.TIFF,TIFF,mid,64
25,16438,results/test_2_start_64.BMP,BMP,start,64
26,900,results/test_2_start_64.GIF,GIF,start,64
27,691,results/test_2_start_64.JPEG,JPEG,start,64
28,208,results/test_2_start_64.PNG,PNG,start,64
29,16538,results/test_2_start_64.TIFF,TIFF,start,64
30,65590,results/test_3_end_128.BMP,BMP,end,128
31,18308,results/test_3_end_128.GIF,GIF,end,128
32,4640,results/test_3_end_128.JPEG,JPEG,end,128
33,39245,results/test_3_end_128.PNG,PNG,end,128
34,65690,results/test_3_end_128.TIFF,TIFF,end,128
35,65590,results/test_3_mid_128.BMP,BMP,mid,128
36,18289,results/test_3_mid_128.GIF,GIF,mid,128
37,4670,results/test_3_mid_128.JPEG,JPEG,mid,128
38,38926,results/test_3_mid_128.PNG,PNG,mid,128
39,65690,results/test_3_mid_128.TIFF,TIFF,mid,128
40,65590,results/test_3_start_128.BMP,BMP,start,128
41,1001,results/test_3_start_128.GIF,GIF,start,128
42,883,results/test_3_start_128.JPEG,JPEG,start,128
43,392,results/test_3_start_128.PNG,PNG,start,128
44,65690,results/test_3_start_128.TIFF,TIFF,start,128
45,262198,results/test_4_end_256.BMP,BMP,end,256
46,70732,results/test_4_end_256.GIF,GIF,end,256
47,17155,results/test_4_end_256.JPEG,JPEG,end,256
48,158523,results/test_4_end_256.PNG,PNG,end,256
49,262298,results/test_4_end_256.TIFF,TIFF,end,256
50,262198,results/test_4_mid_256.BMP,BMP,mid,256
51,70278,results/test_4_mid_256.GIF,GIF,mid,256
52,17022,results/test_4_mid_256.JPEG,JPEG,mid,256
53,157452,results/test_4_mid_256.PNG,PNG,mid,256
54,262298,results/test_4_mid_256.TIFF,TIFF,mid,256
55,262198,results/test_4_start_256.BMP,BMP,start,256
56,1417,results/test_4_start_256.GIF,GIF,start,256
57,1651,results/test_4_start_256.JPEG,JPEG,start,256
58,856,results/test_4_start_256.PNG,PNG,start,256
59,262298,results/test_4_start_256.TIFF,TIFF,start,256
60,1048630,results/test_5_end_512.BMP,BMP,end,512
61,279602,results/test_5_end_512.GIF,GIF,end,512
62,66259,results/test_5_end_512.JPEG,JPEG,end,512
63,632688,results/test_5_end_512.PNG,PNG,end,512
64,1048730,results/test_5_end_512.TIFF,TIFF,end,512
65,1048630,results/test_5_mid_512.BMP,BMP,mid,512
66,278156,results/test_5_mid_512.GIF,GIF,mid,512
67,65895,results/test_5_mid_512.JPEG,JPEG,mid,512
68,628366,results/test_5_mid_512.PNG,PNG,mid,512
69,1048730,results/test_5_mid_512.TIFF,TIFF,mid,512
70,1048630,results/test_5_start_512.BMP,BMP,start,512
71,3189,results/test_5_start_512.GIF,GIF,start,512
72,4723,results/test_5_start_512.JPEG,JPEG,start,512
73,2201,results/test_5_start_512.PNG,PNG,start,512
74,1048730,results/test_5_start_512.TIFF,TIFF,start,512
75,4194358,results/test_6_end_1024.BMP,BMP,end,1024
76,1101039,results/test_6_end_1024.GIF,GIF,end,1024
77,257202,results/test_6_end_1024.JPEG,JPEG,end,1024
78,2483374,results/test_6_end_1024.PNG,PNG,end,1024
79,4194458,results/test_6_end_1024.TIFF,TIFF,end,1024
80,4194358,results/test_6_mid_1024.BMP,BMP,mid,1024
81,1097080,results/test_6_mid_1024.GIF,GIF,mid,1024
82,260639,results/test_6_mid_1024.JPEG,JPEG,mid,1024
83,2495711,results/test_6_mid_1024.PNG,PNG,mid,1024
84,4194458,results/test_6_mid_1024.TIFF,TIFF,mid,1024
85,4194358,results/test_6_start_1024.BMP,BMP,start,1024
86,10190,results/test_6_start_1024.GIF,GIF,start,1024
87,17011,results/test_6_start_1024.JPEG,JPEG,start,1024
88,6490,results/test_6_start_1024.PNG,PNG,start,1024
89,4194458,results/test_6_start_1024.TIFF,TIFF,start,1024
